B,G,R,Target
125,151,85,Hijau
126,151,85,Hijau
125,150,87,Hijau
126,151,86,Hijau
124,151,86,Hijau
126,151,86,Hijau
125,152,85,Hijau
124,150,85,Hijau
123,149,84,Hijau
116,144,79,Hijau
115,141,79,Hijau
111,137,77,Hijau
114,141,78,Hijau
117,143,81,Hijau
119,146,84,Hijau
123,149,84,Hijau
129,152,87,Hijau
123,150,85,Hijau
30,24,25,Hitam
29,24,25,Hitam
30,24,25,Hitam
31,24,26,Hitam
29,24,26,Hitam
30,24,25,Hitam
30,24,25,Hitam
30,24,25,Hitam
30,24,26,Hitam
30,24,25,Hitam
31,24,25,Hitam
30,24,25,Hitam
30,25,25,Hitam
30,24,26,Hitam
30,24,25,Hitam
30,24,25,Hitam
30,25,24,Hitam
30,24,25,Hitam
30,25,26,Hitam
